id,vina_info
987,"(987, -6.58)"
1874,"(987, -6.58)"
2453,"(987, -6.58)"
2713,"(987, -6.58)"
3125,"(987, -6.58)"
3142,"(987, -6.58)"
3159,"(987, -6.58)"
3175,"(987, -6.58)"
3177,"(987, -6.58)"
3181,"(987, -6.58)"
3184,"(987, -6.58)"
3191,"(987, -6.58)"
3193,"(987, -6.58)"
3194,"(987, -6.58)"
703,"(703, -8.138)"
1900,"(703, -8.138)"
1963,"(703, -8.138)"
2200,"(703, -8.138)"
2511,"(703, -8.138)"
2679,"(703, -8.138)"
2761,"(703, -8.138)"
2867,"(703, -8.138)"
2955,"(703, -8.138)"
3020,"(703, -8.138)"
3074,"(703, -8.138)"
3180,"(703, -8.138)"
3182,"(703, -8.138)"
3186,"(703, -8.138)"
3195,"(703, -8.138)"
